"","AJwcM2MAIPOOA100700.extra.kraken2.report","Ia7iM2MAIPOOB100245.extra.kraken2.report","P0ZQM2MAIPOOA100240.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"59202",30,12,12,17,34,19,"v_3211",117,3.35390394419104e-05,117794.506560966
"566",92,55,90,58,82,97,"v_3236",193,3.35300429184549e-05,41713.6127189636
"28250",19,13,20,12,21,21,"v_4221",75,3.35289186923722e-05,193159.73145705
"1737490",28,19,20,14,29,20,"v_3716",147,3.3527794541675e-05,36696.6062518191
"658445",76,40,48,35,52,39,"v_3786",91,3.35232986925913e-05,59746.9746877153
"43990",99,44,55,55,61,53,"v_555",121,3.35221749187087e-05,18312.1934359952
"1689",124,47,59,67,99,82,"v_745",134,3.35210512201663e-05,173861.74597462
"2742676",34,25,20,25,33,22,"v_3147",89,3.35165571792466e-05,41994.8411330684
"59201",114,39,59,34,86,67,"v_3210",99,3.35154338572913e-05,27353.8917104783
"33035",32,24,34,20,22,28,"v_1238",99,3.35143106106307e-05,34281.4620600721
"689",25,14,12,12,36,27,"v_3783",135,3.35143106106307e-05,142656.147110834
"198119",62,26,43,49,109,82,"v_939",172,3.35131874392573e-05,21336.3205010626
"1564",70,26,31,36,48,37,"v_1263",163,3.35131874392573e-05,20668.1487200988
"339617",40,21,21,32,38,28,"v_3633",128,3.35109413223417e-05,15767.2909293724
"82977",28,14,22,25,27,33,"v_3244",132,3.35098183767844e-05,24865.102793138
"91604",38,27,21,20,26,30,"v_2258",70,3.35075727114328e-05,100076.288084617
"76761",56,34,62,30,36,58,"v_2992",70,3.35064499916234e-05,44471.3638231884
"199",53,17,31,32,52,39,"v_3977",93,3.35042047776996e-05,16576.0656767404
"1646377",126,57,52,66,96,88,"v_3301",142,3.35030822835701e-05,43095.4448903224
"717231",32,14,12,21,29,32,"v_4404",143,3.35030822835701e-05,19329.080416535
"446692",33,12,21,17,28,20,"v_2042",136,3.34963488979701e-05,111311.390760376
"1705310",139,65,86,65,108,85,"v_2395",131,3.34963488979701e-05,62610.7000297367
"45655",71,45,47,53,72,67,"v_3953",206,3.34963488979701e-05,30731.3285345582
"146474",48,17,23,14,30,26,"v_2040",121,3.34941050375134e-05,16800.5524017392
"42817",65,42,46,52,43,47,"v_561",88,3.34907398104424e-05,50977.5445758419
