"","pse1M2MAIPOOA100685.extra.kraken2.report","AJwcM2MAIPOOA100700.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","B7zTM2MAIPOOA070610.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2734266",0,8.30083326531262e-07,1.2484612714829e-06,0,3.81251281957436e-07,4.26956496121741e-07,"v_5829",51,2.4043085208694e-05,16749.8290878924
"2734284",0,5.53388884354174e-07,8.32307514321932e-07,0,7.62502563914871e-07,0,"v_5888",51,2.09604057934562e-05,28071.6698230991
"1922327",0,2.76694442177087e-07,8.32307514321932e-07,0,3.81251281957436e-07,4.26956496121741e-07,"v_6091",51,2.19024465032744e-05,34269.4408618868
"56947",0,2.76694442177087e-07,0,0,7.62502563914871e-07,4.26956496121741e-07,"v_6197",51,2.15382627237287e-05,20331.5805600571
"67381",1.98416241559869e-06,8.30083326531262e-07,4.16153757160966e-07,0,3.81251281957436e-07,2.1347824806087e-06,"v_125",50,2.50143832703805e-05,9181.32059820476
"443156",0.000867078975616628,0.000742924577245479,0.0008102513651924,0.000529124723189381,0.000513164225514708,0.000407743453796262,"v_280",50,2.20813920109524e-05,4673.95889023605
"1249101",0.000559533801198831,0.000356935830408442,0.000585112182568318,0.000352749815459587,0.000286319712750034,0.000299723460277462,"v_396",50,2.36356330804321e-05,7271.84530497718
"1050174",4.36515731431712e-05,3.01596941973025e-05,2.62176867011408e-05,3.26620199499618e-05,2.78313435828928e-05,2.60443462634262e-05,"v_534",50,3.44091941366733e-05,7519.70864661167
"1471400",1.19049744935921e-05,2.73927497755316e-05,1.62299965292777e-05,1.30648079799847e-05,1.22000410226379e-05,1.40895643720174e-05,"v_568",50,3.60477271908006e-05,40162.81492722
"49319",0.00150796343585501,0.00172020934701495,0.00141700354313309,0.00112357348627869,0.000885646727987123,0.00099352776647529,"v_775",50,2.02539849715432e-05,27274.21604764
"1547283",4.56357355587699e-05,2.79461386598858e-05,2.20561491295312e-05,3.26620199499618e-05,6.86252307523384e-06,1.45165208681392e-05,"v_821",50,3.34728033472803e-05,5143.2542211835
"218284",1.58732993247895e-05,1.35580276666773e-05,1.29007664719899e-05,1.30648079799847e-05,6.10002051131897e-06,1.57973903565044e-05,"v_834",50,3.496381245411e-05,17549.4968896133
"421767",3.76990858963751e-05,4.4547805190511e-05,2.99630705155895e-05,2.61296159599694e-05,1.52500512782974e-05,1.45165208681392e-05,"v_852",50,3.41436765910953e-05,11351.4396624123
"2644826",5.95248724679607e-06,5.25719440136466e-06,7.49076762889738e-06,0,2.28750769174461e-06,3.41565196897393e-06,"v_1001",50,3.22071564301588e-05,25236.2912489008
"2506420",3.96832483119738e-06,4.4271110748334e-06,5.82615260025352e-06,1.30648079799847e-05,2.28750769174461e-06,2.56173897673044e-06,"v_1069",50,2.97574765659872e-05,8000.31119294771
"938155",1.98416241559869e-06,1.10677776870835e-06,1.2484612714829e-06,0,7.62502563914871e-07,2.56173897673044e-06,"v_1097",50,2.7057741219763e-05,6205.59390058525
"1308",1.98416241559869e-06,1.38347221088544e-06,4.99384508593159e-06,0,4.19376410153179e-06,5.97739094570437e-06,"v_1127",50,3.14980471210785e-05,7680.53473494078
"33945",3.96832483119738e-06,1.02376943605522e-05,7.49076762889738e-06,0,7.24377435719128e-06,3.41565196897393e-06,"v_1138",50,3.37143049796028e-05,12574.5877531685
"102134",4.56357355587699e-05,5.3955416224532e-05,3.28761468157163e-05,3.91944239399541e-05,3.27876102483395e-05,3.6291302170348e-05,"v_1261",50,3.382949932341e-05,6668.08359901132
"268175",5.95248724679607e-06,3.87372219047922e-06,1.04038439290241e-05,0,8.00627692110615e-06,5.12347795346089e-06,"v_1461",50,3.27493040772884e-05,2774.7130650585
"858423",0.000492072279068475,0.000473424190564996,0.000457352979119901,0.000646707995009243,0.00128214806122286,0.000733938216833272,"v_1558",50,2.16450216450216e-05,1128.9183581523
"2599297",0.000335323448236179,0.000346144747163536,0.000452775287791131,0.000411541451369518,0.000354563692220415,0.000400058236866071,"v_1847",50,2.41949142290291e-05,4911.13009043797
"2448440",0.000222226190547053,0.000222739025952555,0.000280487632326491,0.000300490583539648,0.000266875897370205,0.00026727476657221,"v_1913",50,2.46773437307208e-05,4394.29983437109
"2602016",0.000865094813201029,0.00102902663045659,0.0010874097674616,0.001711489845378,0.00130464188685834,0.00164591729254931,"v_1991",50,2.02741059119293e-05,7859.20183112454
"94",0.0010654952171765,0.00115741285162676,0.00116398205877922,0.00140446685784836,0.00126880426635435,0.001392305133853,"v_2020",50,2.02823300340743e-05,12768.2755834653
"1389011",2.38099489871843e-05,1.88152220680419e-05,1.53976890149557e-05,6.53240398999236e-06,1.52500512782974e-05,2.09208683099653e-05,"v_2093",50,3.47572208126238e-05,6009.72844445326
"60890",9.32556335331385e-05,0.000128662915612346,0.000108199976861851,0.00011105086782987,0,0.000120401731906331,"v_2127",50,2.98828591919675e-05,426.911087515621
"90245",9.92081207799346e-06,6.08727772789592e-06,2.08076878580483e-06,0,6.48127179327641e-06,5.97739094570437e-06,"v_2584",50,3.26104679602152e-05,8389.41884735231
"56458",0.000186511267066277,0.000211947942707649,0.000266754558340179,0.000346217411469595,0.000227988266610546,0.000324913893548645,"v_2799",50,2.46250831096555e-05,10903.3597048482
"75612",1.38891369091908e-05,1.54948887619169e-05,9.15538265754125e-06,1.95972119699771e-05,8.76877948502102e-06,1.45165208681392e-05,"v_2990",50,3.41075752924725e-05,12766.6765598735
"318161",5.95248724679607e-06,6.91736105442718e-06,4.16153757160966e-06,0,4.95626666544666e-06,3.41565196897393e-06,"v_3601",50,3.15945783703516e-05,3166.65797408512
"2591606",1.98416241559869e-05,1.93686109523961e-05,1.45653815006338e-05,1.30648079799847e-05,2.21125743535313e-05,2.39095637828175e-05,"v_3720",50,3.49870547897278e-05,5698.41116276307
"1210884",0.000912714711175398,0.00107800154672193,0.00082315213166439,0.00116930031420863,0.00128672307660634,0.00143542773996129,"v_4049",50,2.06526228831062e-05,2836.83214987451
"2736",0.000238099489871843,0.00024127755357842,0.000179778423093537,0.000287425775559664,0.000266494646088247,0.000322779111068036,"v_4117",50,2.61649964677255e-05,4828.61823249382
"83561",9.92081207799346e-06,6.64066661225009e-06,3.74538381444869e-06,6.53240398999236e-06,6.86252307523384e-06,6.40434744182611e-06,"v_4132",50,3.37461613741437e-05,36411.4007947015
"234267",0.000815490752811062,0.00110926801868794,0.000853531355937141,0.00114317069824866,0.00199813796873892,0.00123305036079959,"v_4302",50,2.04498977505112e-05,4310.39325747964
"1137606",3.96832483119738e-06,3.59702774830213e-06,2.08076878580483e-06,0,0,4.26956496121741e-06,"v_4346",50,2.957267484844e-05,5991.68165746739
"771875",3.96832483119738e-06,1.66016665306252e-06,4.16153757160966e-07,6.53240398999236e-06,2.28750769174461e-06,2.1347824806087e-06,"v_4368",50,2.73815065304893e-05,5991.82523184294
"157687",5.95248724679607e-06,1.10677776870835e-06,2.08076878580483e-06,0,2.66875897370205e-06,4.26956496121741e-07,"v_4396",50,2.78171854571754e-05,1338.39739294743
"2214",1.98416241559869e-06,8.85422214966679e-06,8.32307514321932e-07,0,2.28750769174461e-06,3.84260846509567e-06,"v_4572",50,3.11905430273541e-05,4336.1713868248
"2479393",0,8.30083326531262e-07,4.16153757160966e-07,0,3.81251281957436e-07,4.26956496121741e-07,"v_4859",50,2.31975503386842e-05,17565.7401416382
"1699621",0,6.08727772789592e-06,3.74538381444869e-06,0,4.19376410153179e-06,2.56173897673044e-06,"v_4889",50,3.09607108579213e-05,1160.80923913136
"1085623",0,2.49024997959378e-06,2.49692254296579e-06,0,4.57501538348923e-06,4.26956496121741e-06,"v_5081",50,3.08842150776738e-05,2824.29178888521
"1088719",0,1.93686109523961e-06,4.16153757160966e-07,6.53240398999236e-06,2.66875897370205e-06,4.26956496121741e-07,"v_5154",50,2.44887963756581e-05,25368.6471992107
"264",0,1.93686109523961e-06,4.16153757160966e-07,0,7.62502563914871e-07,3.84260846509567e-06,"v_5172",50,2.65547825163312e-05,1438.32681788217
"1125411",0,2.76694442177087e-07,4.16153757160966e-07,0,7.62502563914871e-07,4.26956496121741e-07,"v_5189",50,2.2663403136615e-05,8663.34533640826
"488546",0,2.76694442177087e-07,4.16153757160966e-07,0,7.62502563914871e-07,4.26956496121741e-07,"v_5239",50,2.17188280520383e-05,24362.8781519722
"261524",0,4.4271110748334e-06,3.74538381444869e-06,6.53240398999236e-06,2.66875897370205e-06,3.41565196897393e-06,"v_5268",50,2.86278663651198e-05,11754.8992470352
"2317",0,1.38347221088544e-06,1.2484612714829e-06,0,3.81251281957436e-07,8.53912992243481e-07,"v_5655",50,2.58645216356723e-05,9062.36624222984
"317878",0,2.76694442177087e-07,0,0,3.81251281957436e-07,4.26956496121741e-07,"v_6122",50,1.95400277468394e-05,3939.9530410692
"2072209",0,2.76694442177087e-07,0,0,3.81251281957436e-07,4.26956496121741e-07,"v_6272",50,1.95400277468394e-05,3939.9530410692
"1929477",3.96832483119738e-05,4.01206941156776e-05,4.41122982590624e-05,3.91944239399541e-05,2.89750974287651e-05,3.50104326819827e-05,"v_114",49,3.3955857385399e-05,8164.73652330877
"1618207",7.14298469615529e-05,6.41931105850842e-05,5.20192196451207e-05,5.87916359099312e-05,3.88876307596584e-05,3.58643456742262e-05,"v_177",49,3.24833522819555e-05,7767.55026856511
"2608905",2.5794111402783e-05,2.51791942381149e-05,3.20438393013944e-05,1.95972119699771e-05,3.12626051205097e-05,2.81791287440349e-05,"v_372",49,3.49174203009882e-05,4421.23241821994
"1810",0.000388895833457344,0.000351678636007078,0.000326264545614197,0.00033315260348961,0.000279838440956758,0.000283072156928714,"v_405",49,2.43658780244146e-05,7385.21005630745
"103733",0.000902793899097405,0.00103511390818448,0.00154559505409583,0.000960263386528876,0.00097829078950278,0.000947843421390264,"v_646",49,2.07283958294468e-05,6037.54480128309
"211114",0.00077382334208349,0.00128801262833434,0.00113401898826363,0.000888406942638961,0.0010587348099958,0.00113015384523425,"v_666",49,2.08342014250594e-05,2496.33006522532
"632773",1.38891369091908e-05,1.54948887619169e-05,1.78946115579215e-05,1.30648079799847e-05,1.29625435865528e-05,1.62243468526261e-05,"v_835",49,3.55378655957923e-05,19618.3248919016
"1421",1.38891369091908e-05,1.05143888027293e-05,9.98769017186318e-06,1.95972119699771e-05,4.57501538348923e-06,1.06739124030435e-05,"v_857",49,3.38512575742189e-05,11672.8184899483
"189425",3.96832483119738e-06,1.68783609728023e-05,1.53976890149557e-05,6.53240398999236e-06,1.52500512782974e-05,2.43365202789392e-05,"v_954",49,3.50091023666153e-05,21657.802226068
"1624",5.95248724679607e-06,5.53388884354174e-06,2.49692254296579e-06,6.53240398999236e-06,7.24377435719128e-06,2.98869547285218e-06,"v_1079",49,3.10010230337601e-05,2553.03321219944
"2714947",5.95248724679607e-06,2.76694442177087e-06,4.16153757160966e-07,0,2.28750769174461e-06,1.28086948836522e-06,"v_1147",49,2.88184438040346e-05,9363.27227437408
"36745",3.96832483119738e-06,8.5775277074897e-06,6.24230635741449e-06,0,3.39313640942118e-05,1.19547818914087e-05,"v_1211",49,3.37245379738298e-05,146.166151639738
"86170",9.92081207799346e-06,9.68430547619805e-06,7.90692138605835e-06,6.53240398999236e-06,7.24377435719128e-06,8.53912992243481e-06,"v_1300",49,3.41985568209022e-05,15174.7257204226
"1325095",0.000462309842834495,0.000423065802088766,0.000375370688959191,0.00055525433914935,0.000939784410025079,0.000593896486105341,"v_1560",49,2.21145978460382e-05,3725.96690574967
"1404768",0.000337307610651778,0.0002982766086669,0.000285065323655262,0.000405009047379526,0.000892890502344314,0.000511066925857724,"v_1561",49,2.29315721885892e-05,5234.73153017318
