"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"208224",45,3,34,28,15,22,27,49,27,27,74
"299767",30,1,34,26,12,21,20,31,15,25,7
"2071710",30,4,27,20,13,9,17,18,13,21,1
"2757714",23,0,31,20,16,21,25,22,8,16,8
"2724468",145,11,120,78,35,95,59,105,96,71,43
"2596949",127,11,134,65,43,67,64,91,118,55,48
"1914861",115,12,103,66,41,59,72,105,71,44,34
"2742676",51,2,53,46,27,27,28,25,12,23,16
"2742639",50,5,31,18,21,29,16,23,21,19,10
"399742",47,8,58,24,25,30,27,41,64,30,18
"2742619",24,0,24,9,7,17,8,25,10,12,4
"1166130",21,1,6,10,6,10,8,12,6,5,1
"2705458",13,1,12,10,8,13,7,4,13,8,3
"2500132",11,1,18,7,6,8,5,13,7,2,7
"1560339",9,1,28,11,11,6,9,9,3,6,3
"648691",5,1,0,1,1,1,0,1,0,0,1
"2565914",4,0,3,4,2,0,3,3,1,1,3
"1868135",3,0,1,1,4,0,1,2,1,2,1
"1827481",2,0,1,1,0,0,0,1,2,1,0
"2742673",1,0,2,0,0,0,1,3,2,4,1
"2742656",1,0,0,0,1,1,0,0,0,0,0
"2747372",1,0,0,1,0,2,1,1,0,0,0
"2051905",1,0,0,0,0,0,0,0,0,1,0
"881260",93,13,42,57,25,41,35,65,32,38,15
"2478464",63,5,52,29,27,35,25,41,32,20,10
"885040",36,2,38,23,11,25,22,24,26,21,24
"539813",3,0,3,4,3,3,2,3,4,2,1
"72407",19,1,12,12,4,9,7,8,6,7,4
"39831",5,0,2,1,3,2,4,3,1,3,1
"1328373",1,0,0,0,0,0,0,0,0,0,0
"1365186",1,0,0,0,0,0,0,0,0,0,0
"1420012",1,0,1,0,0,0,1,0,0,0,0
"548",328,24,290,211,116,184,144,315,217,123,89
"2681387",22,1,20,12,9,16,9,22,13,5,6
"2787706",7,0,4,5,0,2,1,7,1,5,0
"2675726",6,3,3,3,3,5,4,6,1,1,0
"2697371",4,0,3,5,4,0,2,5,1,1,0
"2015795",2,0,1,0,1,1,1,1,1,2,0
"2267618",2,0,0,0,0,0,0,1,0,0,1
"2675710",1,0,0,1,4,3,0,3,3,4,2
"571",208,17,195,116,92,145,94,195,143,114,56
"1134687",202,12,163,136,74,131,101,169,129,111,64
"1667327",9,1,9,5,2,5,0,6,4,3,4
"244366",102,9,0,0,0,0,0,0,0,0,0
"2026240",47,1,51,27,10,34,30,40,25,29,18
"2153354",43,5,41,23,21,33,21,42,43,19,15
"2489010",38,2,45,32,13,20,21,38,20,25,14
"2058152",21,1,26,11,12,15,18,24,15,8,5
"546",204,16,205,129,86,132,110,155,100,86,44
"67827",28,1,27,14,12,17,12,40,20,4,5
"1639133",16,6,10,14,9,15,8,14,9,5,1
"2816438",13,0,8,7,1,3,13,13,12,5,4
"57706",12,0,8,5,2,11,9,17,10,5,1
"133448",10,2,6,4,7,6,8,6,12,2,3
"1573676",61,7,56,41,25,44,40,59,45,30,29
"2742624",55,7,54,40,18,47,33,58,51,32,19
"2546350",23,2,19,18,12,11,2,15,3,6,9
"2781952",17,0,22,19,8,10,10,11,17,7,6
"1702170",7,0,0,0,2,3,0,2,2,4,2
"2742627",6,0,2,5,2,1,2,8,3,3,0
"1703250",3,0,0,1,2,1,1,4,1,2,4
"1920110",3,0,4,3,0,0,0,3,0,1,0
"2742675",3,0,0,1,0,1,2,2,6,1,1
"2742667",3,0,2,3,0,1,1,1,1,0,0
"2742626",2,0,0,0,1,0,1,2,1,3,1
"2742657",1,0,1,2,1,0,2,0,1,0,0
"2742625",1,0,1,3,1,0,1,0,3,1,0
"2742668",1,0,0,2,0,0,0,2,0,1,0
"2697370",1,0,0,1,0,1,1,2,0,0,1
"2742678",1,0,0,0,0,1,0,0,0,0,0
"637910",112,9,94,58,45,73,49,111,53,55,41
"67824",75,2,45,51,24,45,32,43,31,29,23
"1261127",50,3,42,35,29,26,22,38,23,14,16
