"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1541959",9.88434862816473e-06,9.80716379103899e-06,6.88996468031856e-06,4.42892941260881e-06,1.02687739976784e-05,3.18088162905672e-06,9.5897829324428e-06,8.42900251184275e-06,1.19763443246899e-05,6.41149155252243e-06,1.54182305157618e-05,"v_4816",11,2.65041081367612e-05,3941.3769377718
"1950",0.000313603424657227,0.00122521125315027,0.000880192987910696,0.000382659501249401,0.000494240557192606,0.000287074567022369,0.000431258179520737,0.000428193327601612,0.000174854627140472,0.00039987460472311,0.000955930291977234,"v_3049",20,1.80936527466165e-05,3940.67656314805
"43990",2.74066030144568e-05,3.21583742915465e-05,1.29186837755973e-05,2.56877905931311e-05,2.76810429502634e-05,1.27235265162269e-05,2.70770341621914e-05,4.04592120568452e-05,2.15574197844418e-05,2.09217092766521e-05,2.422864795334e-05,"v_3515",28,2.72992820288826e-05,3939.89039046911
"189426",1.39279457942321e-05,1.14036788267895e-05,7.32058747283847e-06,1.55012529441308e-05,1.11617108670417e-05,3.49896979196239e-05,1.66410939121802e-05,1.47507543957248e-05,7.98422954979325e-06,1.48476646479467e-05,1.98234392345509e-05,"v_3976",5,2.36099634045567e-05,3936.90484275563
"2781952",4.49288574007488e-06,5.01761868378739e-06,3.44498234015928e-06,3.54314353008705e-06,3.57174747745334e-06,3.9761020363209e-06,4.7948914662214e-06,4.21450125592137e-06,4.79053772987595e-06,3.71191616198667e-06,0,"v_1805",7,2.4704167593073e-05,3936.13054124564
"2681309",4.49288574007488e-07,6.84220729607371e-07,1.72249117007964e-06,2.2144647063044e-06,3.57174747745334e-06,2.38566122179254e-06,2.53847195270545e-06,4.21450125592137e-07,0,2.69957539053576e-06,2.20260435939455e-06,"v_1847",9,2.34802413768814e-05,3935.2532997475
"56947",0,2.2807357653579e-07,0,0,0,0,2.82052439189494e-07,0,0,1.01234077145091e-06,0,"v_6294",13,1.70296827370106e-05,3922.80302065238
"1982093",4.49288574007488e-07,6.84220729607371e-07,0,0,0,0,0,0,0,0,0,"v_6596",22,1.59055844507006e-05,3921.80259828373
"2560802",4.49288574007488e-07,6.84220729607371e-07,0,0,0,0,0,0,0,0,0,"v_6670",22,1.59055844507006e-05,3921.80259828373
"1401328",1.79715429602995e-06,2.5088093418937e-06,1.72249117007964e-06,5.75760823639145e-06,1.339405304045e-06,1.59044081452836e-06,4.51283902703191e-06,3.79305113032924e-06,7.18580659481392e-06,5.06170385725455e-06,2.20260435939455e-06,"v_516",12,2.61855508130614e-05,3921.15804046372
"1507512",2.69573144404493e-06,3.42110364803686e-06,2.58373675511946e-06,1.32867882378264e-06,4.01821591213501e-06,7.15698366537761e-06,2.25641951351595e-06,2.10725062796069e-06,1.59684590995865e-06,1.68723461908485e-06,8.81041743757819e-06,"v_4473",4,2.08934018636914e-05,3914.36846207812
"1421067",0,6.84220729607371e-07,4.3062279251991e-07,4.42892941260881e-07,4.46468434681668e-07,0,5.64104878378988e-07,4.21450125592137e-07,0,0,0,"v_6166",10,1.71218217618355e-05,3912.83027319663
"1444770",2.29137172743819e-05,1.59651503575053e-05,2.28230080035552e-05,2.03730752980005e-05,1.96446111259934e-05,2.86279346615105e-05,2.42565097702965e-05,1.60151047725012e-05,3.03400722892143e-05,1.65348992670315e-05,1.10130217969727e-05,"v_1727",8,2.4662128834961e-05,3902.73006132179
"36845",1.43772343682396e-05,9.35101663796741e-06,2.58373675511946e-06,6.20050117765233e-06,5.80408965086168e-06,7.95220407264179e-06,7.33336341892685e-06,1.60151047725012e-05,3.1936918199173e-06,3.71191616198667e-06,2.20260435939455e-06,"v_4363",9,2.64047317279256e-05,3892.14067842542
"308754",0.000139728746516329,0.000145510941829834,0.000117560022357935,0.000131096310613221,0.000113402982409144,0.000111330857016985,0.000162180152533959,0.000124327787049681,0.000131739787571589,0.000149151540327101,0.000127751052844884,"v_624",100,2.39859921805665e-05,3881.41542908282
"2094",8.98577148014976e-07,1.36844145921474e-06,8.6124558503982e-07,8.85785882521762e-07,0,7.95220407264179e-07,2.82052439189494e-07,4.21450125592137e-07,7.98422954979325e-07,1.34978769526788e-06,0,"v_4769",8,1.9871234401081e-05,3877.83554500434
"1004788",0,0,0,8.85785882521762e-07,1.339405304045e-06,0,2.82052439189494e-07,0,7.98422954979325e-07,6.7489384763394e-07,0,"v_2336",7,1.85329330219801e-05,3862.16588336987
"10484",4.49288574007488e-07,2.2807357653579e-07,0,0,0,0,0,0,0,6.7489384763394e-07,0,"v_6884",30,1.60333493666827e-05,3859.85121050773
"882378",0.000167135349530785,0.000110843758196394,0.000117129399565415,0.000166970638855352,0.000149566925618359,7.79315999118896e-05,0.000182769980594792,0.000135285490315076,0.000146111400761216,0.000138353238764958,0.000160790118235802,"v_1022",69,2.35599010484156e-05,3857.38639429039
"985782",8.98577148014976e-07,1.82458861228632e-06,8.6124558503982e-07,1.32867882378264e-06,4.46468434681668e-07,0,8.46157317568482e-07,1.68580050236855e-06,7.98422954979325e-07,6.7489384763394e-07,0,"v_6181",10,2.227766886473e-05,3853.61558443282
"465721",0.000836126036227935,0.000555131085288114,0.000983111835322954,0.000511541347156317,0.000882668095365658,0.000438961664809827,0.000656618078433142,0.000666312648561169,0.000690635856057116,0.000860489655733274,0.00041188701520678,"v_2546",6,1.78948498622097e-05,3852.43091591089
"1836",0.00084780753915213,0.0011291922774287,0.000893972917271333,0.00120776905081842,0.000994285204036075,0.000532002452459736,0.000884798501737443,0.00299566749270891,0.000548516570070796,0.000987369699088455,0.00097355112685239,"v_3618",61,1.6754347753242e-05,3852.19074984732
"32002",0.000490173834242169,0.000395935728866132,0.000350526953111207,0.000415876471843967,0.000410750959907135,0.000452480411733318,0.000494719978338373,0.000417657074461808,0.000375258788840283,0.000485923570296437,0.000389860971612835,"v_1077",7,1.91548864115236e-05,3850.06479331478
"1922217",1.12322143501872e-05,1.00352373675748e-05,1.24880609830774e-05,1.06294305902611e-05,1.29475846057684e-05,6.36176325811343e-06,1.57949365946117e-05,9.69335288861916e-06,1.19763443246899e-05,1.38353238764958e-05,1.10130217969727e-05,"v_2035",41,2.88309067320167e-05,3848.89322522467
"2636778",4.40302802527338e-05,4.62989360367655e-05,4.82297527622299e-05,5.22613670687839e-05,2.90204482543084e-05,0.000485084448431149,3.58206597770658e-05,7.45966722298083e-05,2.87432263792557e-05,3.20574577626122e-05,0.000103522404891544,"v_3892",3,1.85673437558023e-05,3841.09854299934
"467094",0.000808719433213478,0.00116271909317946,0.000561962744238482,0.000825109549569021,0.000876864005714796,0.000484289228023885,0.00116741504580532,0.00121419781183095,0.000527757573241334,0.000963748414421267,0.000775316734506881,"v_3807",65,1.75324789171941e-05,3836.07226550184
"362837",0,6.84220729607371e-07,4.3062279251991e-07,4.42892941260881e-07,0,0,1.12820975675798e-06,0,7.98422954979325e-07,6.7489384763394e-07,0,"v_4781",11,1.86389815660472e-05,3836.02172981899
"1982678",5.34653403068911e-05,4.10532437764423e-05,4.69378843846702e-05,5.22613670687839e-05,4.91115278149835e-05,4.85084448431149e-05,5.58463829595198e-05,4.55166135639508e-05,5.50911838935734e-05,3.74566085436837e-05,5.50651089848637e-05,"v_1694",5,2.44259892525647e-05,3833.36348748423
"374106",1.34786572202246e-06,6.84220729607371e-07,4.3062279251991e-07,8.85785882521762e-07,3.57174747745334e-06,7.95220407264179e-07,1.69231463513696e-06,2.10725062796069e-06,2.39526886493797e-06,3.71191616198667e-06,0,"v_2920",19,2.48484246098797e-05,3831.5246521468
