"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"758796",6.39142696596299e-05,4.94998009247137e-05,6.62385045778918e-05,6.94742335416752e-05,0.000111931657360471,6.7164419825346e-05,"v_969",86,3.05735599853247e-05,21791.3166350183
"1389713",0.000160229523243933,0.000172890609026898,0.000191956482654299,0.000231042218522315,0.000194272186913002,0.000284123170708536,"v_3369",133,2.66780493010351e-05,21774.4363936719
"1655489",3.68394748732589e-05,4.37606935711237e-05,4.46096051238863e-05,5.62795147682563e-05,3.0877698582199e-05,4.02102776585953e-05,"v_3051",32,3.14871375043295e-05,21762.014768703
"2233999",0.000529068121071381,0.000473476356671174,0.000706994650902804,0.000718977533163849,0.000447726629441886,0.000474127779424975,"v_620",27,2.15856843741231e-05,21758.2515803676
"1931241",8.38874789282642e-05,0.000110477816556607,7.84047605207698e-05,7.59369529409009e-05,5.78956848416231e-05,4.68383454045176e-05,"v_1448",67,2.99661382637619e-05,21757.2270111937
"869212",7.76735916002446e-05,9.18257176574399e-05,5.81276672826397e-05,6.9743513516643e-05,5.53225432931066e-05,4.9047701319825e-05,"v_5083",75,3.0919547337827e-05,21751.8338761541
"1297617",6.74650624184982e-05,7.46083955966699e-05,8.78674040318972e-05,8.67081519396102e-05,7.46211049069809e-05,5.61176402488088e-05,"v_4286",100,3.139816006782e-05,21745.174969699
"68202",9.49837062997277e-05,0.00012052125442539,0.000131125202939908,0.000162375824905543,0.000122224223554538,0.000132561354918446,"v_3278",131,2.88209355275672e-05,21704.5689804304
"593117",4.88234004344395e-06,6.45649577278874e-06,4.05541864762603e-06,3.76991964954827e-06,1.28657077425829e-06,7.06993892898379e-06,"v_5342",38,3.12031952071892e-05,21665.6372646738
"1089444",9.32083099202936e-06,1.21956031263787e-05,9.46264351112739e-06,1.53489585731608e-05,1.02925661940663e-05,9.27929484429122e-06,"v_2090",4,3.02233505606432e-05,21661.7346437065
"1630135",6.25827223750543e-05,6.45649577278874e-05,7.43493418731438e-05,7.62062329158686e-05,5.91822556158814e-05,6.76062910084075e-05,"v_3146",137,3.19264414788328e-05,21637.9158568557
"10449",1.77539637943416e-06,0,0,5.38559949935467e-07,0,2.20935591530743e-06,"v_6054",27,2.40981275754874e-05,21633.7366994033
"29419",1.77539637943416e-06,2.15216525759625e-06,4.05541864762603e-06,5.11631952438694e-06,0,3.09309828143041e-06,"v_2921",54,3.00084023526587e-05,21623.8842866805
"946432",2.66309456915124e-06,2.869553676795e-06,1.35180621587534e-06,1.88495982477413e-06,0,5.74432537979933e-06,"v_4055",47,2.9238911142949e-05,21623.7779942796
"52773",4.88234004344395e-05,5.52389082783037e-05,7.16457294413931e-05,7.2705593241288e-05,7.84808172297558e-05,6.18619656286082e-05,"v_3691",72,3.11448860097172e-05,21604.7339591209
"78258",2.48555493120783e-05,1.29129915455775e-05,2.97397367492575e-05,2.77358374216766e-05,2.57314154851658e-05,1.90004608716439e-05,"v_3743",57,3.33089068016788e-05,21602.345708808
"289377",2.2192454742927e-06,1.4347768383975e-06,1.35180621587534e-06,1.6156798498064e-06,0,2.65122709836892e-06,"v_5149",41,2.7865243681556e-05,21599.6581826799
"1805933",1.99732092686343e-05,1.93694873183662e-05,2.56843181016315e-05,3.12364770962571e-05,1.80119908396161e-05,1.90004608716439e-05,"v_1996",112,3.43053173241853e-05,21588.8264268226
"218144",3.99464185372687e-06,5.02171893439124e-06,2.70361243175068e-06,1.34639987483867e-06,0,7.95368129510676e-06,"v_4258",35,3.008876184745e-05,21580.4728718707
"65958",4.52726076755712e-05,4.51954704095212e-05,4.32577989080109e-05,4.90089554441275e-05,3.85971232277488e-05,4.24196335739027e-05,"v_655",79,3.30786278985148e-05,21572.1204225313
"2231053",1.90855110789173e-05,2.0086875737565e-05,1.21662559428781e-05,8.88623917393521e-06,1.28657077425829e-06,6.6280677459223e-06,"v_2961",58,3.32270069112174e-05,21562.4125812937
"985052",0,7.17388419198749e-07,0,1.88495982477413e-06,0,8.83742366122974e-07,"v_5429",29,2.4318474745264e-05,21562.2083663426
"2714948",3.10694366400979e-06,6.45649577278874e-06,5.40722486350137e-06,4.039199624516e-06,2.57314154851658e-06,5.30245419673784e-06,"v_2573",51,3.11808175610365e-05,21547.8946095191
